ticket,type,sample,open_time,close_time,size,pl,commission_swap,commission_applied,mae,mfe,balance,is_balance,is_canceled,is_pending,open_price,close_price,is_long,is_short,slippage_money,bars_in_trade,close_type,exit_index,stop_loss,take_profit
2087,2,11,1734688800000,1734688800000,4.0,-12.0,-8.0,true,0.0,0.0,53910.8,false,false,false,42132.504,42132.504,false,true,4.0,0,3,-1,42282.504,42133.0
2114,1,11,1736942400000,1737027660000,4.0,696.04,-8.0,true,130.096,1169.0,54606.84,false,false,false,42745.984,43100.0,true,false,4.0,23,2,-1,42620.984,43341.0
2184,1,11,1738008000000,1738081740000,4.0,251.86,-8.0,true,167.144,698.448,54858.7,false,false,false,44633.074,44765.0,true,false,4.0,20,2,-1,44508.074,45228.0
2252,1,11,1738796400000,1738856040000,4.0,-240.46,-8.0,true,228.454,293.144,54618.24,false,false,false,44899.227,44785.0,true,false,4.0,17,2,-1,44774.227,45494.0
2320,2,11,1740150000000,1740150000000,4.0,-12.0,-8.0,true,0.0,0.0,54606.24,false,false,false,43810.113,43810.113,false,true,4.0,0,3,-1,43960.113,43810.0
2323,2,11,1740409260000,1740409260000,4.0,-12.0,-8.0,true,0.0,0.0,54594.24,false,false,false,43424.0,43424.0,false,true,4.0,0,3,-1,43574.0,43424.0
2332,2,11,1740470400000,1740470400000,4.0,-12.0,-8.0,true,0.0,0.0,54582.24,false,false,false,43352.176,43352.176,false,true,4.0,0,3,-1,43502.176,43352.0
2341,2,11,1741093200000,1741093200000,4.0,-12.0,-8.0,true,0.0,0.0,54570.24,false,false,false,43021.074,43021.074,false,true,4.0,0,3,-1,43171.074,43021.0
2353,2,11,1741286220000,1741286220000,4.0,-12.0,-8.0,true,0.0,0.0,54558.24,false,false,false,42461.0,42461.0,false,true,4.0,0,3,-1,42611.0,42461.0
2356,2,11,1741361520000,1741361520000,4.0,-12.0,-8.0,true,0.0,0.0,54546.24,false,false,false,42436.0,42436.0,false,true,4.0,0,3,-1,42586.0,42436.0
2365,2,11,1741701600000,1741701600000,4.0,-12.0,-8.0,true,0.0,0.0,54534.24,false,false,false,41638.785,41638.785,false,true,4.0,0,3,-1,41788.785,41639.0
2371,2,11,1741791600000,1741791600000,4.0,-12.0,-8.0,true,0.0,0.0,54522.24,false,false,false,41086.63,41086.63,false,true,4.0,0,3,-1,41236.63,41087.0
2380,2,11,1741878540000,1741878540000,4.0,-12.0,-8.0,true,0.0,0.0,54510.24,false,false,false,41087.0,41087.0,false,true,4.0,0,3,-1,41237.0,41087.0
2392,1,11,1742806800000,1743004560000,4.0,371.1,-8.0,true,97.952,997.328,54881.34,false,false,false,42329.45,42521.0,true,false,4.0,53,2,-1,42204.45,42924.0
2561,2,11,1743415200000,1743415200000,4.0,-12.0,-8.0,true,0.0,0.0,54869.34,false,false,false,41294.324,41294.324,false,true,4.0,0,3,-1,41444.324,41294.0
2564,1,11,1743613200000,1743616800000,4.0,-262.4,-8.0,true,361.544,227.576,54606.94,false,false,false,42275.2,42150.0,true,false,4.0,2,2,-1,42150.2,42870.0
2571,1,11,1743623340000,1743624660000,4.0,-262.0,-8.0,true,250.0,63.854,54344.94,false,false,false,42273.0,42148.0,true,false,4.0,2,2,-1,42148.0,42868.0
2578,2,11,1743663600000,1743663600000,4.0,-12.0,-8.0,true,0.0,0.0,54332.94,false,false,false,41163.875,41163.875,false,true,4.0,0,3,-1,41313.875,41164.0
2581,2,11,1743717600000,1743717600000,4.0,-12.0,-8.0,true,0.0,0.0,54320.94,false,false,false,40429.25,40429.25,false,true,4.0,0,3,-1,40579.25,40429.0
2584,2,11,1744009200000,1744009200000,4.0,-12.0,-8.0,true,0.0,0.0,54308.94,false,false,false,36737.55,36737.55,false,true,4.0,0,3,-1,36887.55,36738.0
2596,1,11,1745362800000,1745367300000,4.0,-261.52,-8.0,true,249.526,70.0,54047.418,false,false,false,39846.76,39722.0,true,false,4.0,2,2,-1,39721.76,40442.0
2633,2,11,1748005200000,1748005200000,4.0,-12.0,-8.0,true,0.0,0.0,54035.418,false,false,false,41306.0,41306.0,false,true,4.0,0,3,-1,41456.0,41306.0
2639,1,11,1748376000000,1748424180000,4.0,-262.98,-8.0,true,250.974,121.904,53772.44,false,false,false,42347.49,42222.0,true,false,4.0,13,2,-1,42222.49,42942.0
2710,2,11,1750316700000,1750316700000,4.0,-12.0,-8.0,true,0.0,0.0,53760.44,false,false,false,42054.0,42054.0,false,true,4.0,0,3,-1,42204.0,42054.0
2716,1,11,1750719600000,1750871220000,4.0,337.2,-8.0,true,17.856,908.024,54097.64,false,false,false,42731.402,42906.0,true,false,4.0,42,2,-1,42606.402,43326.0
2850,2,11,1752451260000,1752451260000,4.0,-12.0,-8.0,true,0.0,0.0,54085.64,false,false,false,44187.0,44187.0,false,true,4.0,0,3,-1,44337.0,44187.0
2856,1,11,1753261200000,1753340400000,4.0,272.2,-8.0,true,157.144,634.904,54357.84,false,false,false,44709.9,44852.0,true,false,4.0,22,2,-1,44584.9,45305.0
2945,1,11,1755072000000,1755174780000,4.0,517.42,-8.0,true,15.096,923.024,54875.26,false,false,false,44509.285,44774.0,true,false,4.0,28,2,-1,44384.285,45104.0
3087,1,11,1757599200000,1757687100000,4.0,50.02,-8.0,true,21.168,425.624,54925.28,false,false,false,45928.99,45960.0,true,false,4.0,24,2,-1,45803.99,46524.0
3191,1,11,1759464000000,1759503600000,4.0,597.18,-8.0,true,117.976,751.168,55522.46,false,false,false,46626.414,46931.0,true,false,4.0,12,16,-1,46501.414,47221.0
3233,2,11,1760108340000,1760108340000,4.0,-12.0,-8.0,true,0.0,0.0,55510.46,false,false,false,46249.2,46249.2,false,true,4.0,0,3,-1,46399.2,46249.0
3245,1,11,1760464800000,1760470620000,4.0,-261.98,-8.0,true,249.974,36.024,55248.48,false,false,false,46488.99,46364.0,true,false,4.0,2,2,-1,46363.99,47084.0
3255,1,11,1760983200000,1761140100000,4.0,190.04,-8.0,true,198.144,834.952,55438.52,false,false,false,46715.977,46817.0,true,false,4.0,42,2,-1,46590.977,47311.0
3397,2,11,1762519500000,1762519500000,4.0,-12.0,-8.0,true,0.0,0.0,55426.52,false,false,false,46791.0,46791.0,false,true,4.0,0,3,-1,46941.0,46791.0
3400,1,11,1762880400000,1762958220000,4.0,1178.5,-8.0,true,14.056,1190.51,56605.02,false,false,false,47671.746,48267.0,true,false,4.0,21,3,-1,47546.746,48267.0
3474,2,11,1763442000000,1763442000000,4.0,-12.0,-8.0,true,0.0,0.0,56593.02,false,false,false,46438.965,46438.965,false,true,4.0,0,3,-1,46588.965,46439.0
3477,2,11,1763470800000,1763470800000,4.0,-12.0,-8.0,true,0.0,0.0,56581.02,false,false,false,46196.965,46196.965,false,true,4.0,0,3,-1,46346.965,46197.0
3489,2,11,1763573700000,1763573700000,4.0,-12.0,-8.0,true,0.0,0.0,56569.02,false,false,false,45961.0,45961.0,false,true,4.0,0,3,-1,46111.0,45961.0
3498,1,11,1764111600000,1764342000000,5.0,1071.67,-10.0,true,30.060001,1116.78,57640.695,false,false,false,47129.727,47564.0,true,false,4.0,50,16,-1,47004.727,47725.0
3656,1,21,1766595600000,1766761200000,5.0,-31.85,-10.0,true,232.94,179.65,57608.844,false,false,false,48711.14,48704.0,true,false,4.0,19,16,-1,48586.14,49306.0
3730,1,21,1767625200000,1767645780000,5.0,302.17,-10.0,true,31.5,785.19995,57911.02,false,false,false,48898.527,49025.0,true,false,4.0,6,2,-1,48773.527,49494.0
3762,2,21,1768935600000,1768935600000,4.0,-12.0,-8.0,true,0.0,0.0,57899.02,false,false,false,48521.605,48521.605,false,true,4.0,0,3,-1,48671.605,48522.0
3768,2,21,1768995420000,1768995420000,4.0,-12.0,-8.0,true,0.0,0.0,57887.02,false,false,false,48473.0,48473.0,false,true,4.0,0,3,-1,48623.0,48473.0
3771,2,21,1769000580000,1769000580000,4.0,-12.0,-8.0,true,0.0,0.0,57875.02,false,false,false,48378.0,48378.0,false,true,4.0,0,3,-1,48528.0,48378.0
3786,2,21,1770003600000,1770003600000,4.0,-12.0,-8.0,true,0.0,0.0,57863.02,false,false,false,48558.0,48558.0,false,true,4.0,0,3,-1,48708.0,48558.0
3804,2,21,1771595220000,1771595220000,4.0,-12.0,-8.0,true,0.0,0.0,57851.02,false,false,false,49270.0,49270.0,false,true,4.0,0,3,-1,49420.0,49270.0
3807,2,21,1771858440000,1771858440000,4.0,-12.0,-8.0,true,0.0,0.0,57839.02,false,false,false,49270.0,49270.0,false,true,4.0,0,3,-1,49420.0,49270.0
3810,2,21,1771862400000,1771862400000,4.0,-12.0,-8.0,true,0.0,0.0,57827.02,false,false,false,48928.793,48928.793,false,true,4.0,0,3,-1,49078.793,48929.0
3813,2,21,1771943400000,1771943400000,4.0,-12.0,-8.0,true,0.0,0.0,57815.02,false,false,false,48806.0,48806.0,false,true,4.0,0,3,-1,48956.0,48806.0
3822,2,21,1772434800000,1772434800000,4.0,-12.0,-8.0,true,0.0,0.0,57803.02,false,false,false,48358.99,48358.99,false,true,4.0,0,3,-1,48508.99,48359.0
3834,2,21,1773014400000,1773014400000,4.0,-12.0,-8.0,true,0.0,0.0,57791.02,false,false,false,46616.965,46616.965,false,true,4.0,0,3,-1,46766.965,46617.0
3852,2,21,1773912360000,1773912360000,4.0,-12.0,-8.0,true,0.0,0.0,57779.02,false,false,false,46070.5,46070.5,false,true,4.0,0,3,-1,46220.5,46070.0
3855,2,21,1773921600000,1773921600000,4.0,-12.0,-8.0,true,0.0,0.0,57767.02,false,false,false,46103.0,46103.0,false,true,4.0,0,3,-1,46253.0,46103.0
3861,2,21,1774004400000,1774004400000,4.0,-12.0,-8.0,true,0.0,0.0,57755.02,false,false,false,45818.7,45818.7,false,true,4.0,0,3,-1,45968.7,45819.0
3864,2,21,1774238400000,1774238400000,4.0,-12.0,-8.0,true,0.0,0.0,57743.02,false,false,false,45422.914,45422.914,false,true,4.0,0,3,-1,45572.914,45423.0
3876,1,21,1775023200000,1775092620000,5.0,-137.37,-10.0,true,123.3775,864.87,57605.645,false,false,false,46460.35,46411.0,true,false,4.0,19,2,-1,46335.35,47055.0
3966,1,21,1777561200000,1777647600000,5.0,783.68,-10.0,true,184.94,1367.5901,58389.32,false,false,false,49448.926,49768.0,true,false,4.0,24,16,-1,49323.926,50044.0
4043,1,21,1778079600000,1778083320000,5.0,-325.55,-10.0,true,349.595,48.885002,58063.77,false,false,false,49951.62,49827.0,true,false,4.0,2,2,-1,49826.62,50547.0
4059,1,21,1779386400000,1779462000000,5.0,736.95,-10.0,true,404.615,1235.925,58800.72,false,false,false,50294.617,50595.0,true,false,4.0,21,16,-1,50169.617,50890.0
4129,2,21,1780898400000,1780898400000,4.0,-12.0,-8.0,true,0.0,0.0,58788.72,false,false,false,50654.965,50654.965,false,true,4.0,0,3,-1,50804.965,50655.0
4138,2,21,1781107200000,1781107200000,4.0,-12.0,-8.0,true,0.0,0.0,58776.72,false,false,false,50321.293,50321.293,false,true,4.0,0,3,-1,50471.293,50321.0
4147,1,21,1781478000000,1781616720000,5.0,1474.7,-10.0,true,158.85,1488.7124,60251.418,false,false,false,51481.516,52077.0,true,false,4.0,38,3,-1,51356.516,52077.0
4288,2,21,1783526400000,1783526400000,4.0,-12.0,-8.0,true,0.0,0.0,60239.418,false,false,false,52106.273,52106.273,false,true,4.0,0,3,-1,52256.273,52106.0
4312,2,21,1784559600000,1784559600000,4.0,-12.0,-8.0,true,0.0,0.0,60227.418,false,false,false,51979.04,51979.04,false,true,4.0,0,3,-1,52129.04,51979.0
4321,1,21,1785254400000,1785263100000,5.0,-326.75,-10.0,true,312.7475,102.47,59900.668,false,false,false,52874.098,52749.0,true,false,4.0,3,2,-1,52749.098,53469.0
4339,1,21,1785747600000,1785839400000,5.0,1473.9,-10.0,true,112.53,1487.9026,61374.57,false,false,false,52859.84,53455.0,true,false,4.0,25,3,-1,52734.84,53455.0
4423,2,21,1786935600000,1786935600000,4.0,-12.0,-8.0,true,0.0,0.0,61362.57,false,false,false,53646.863,53646.863,false,true,4.0,0,3,-1,53796.863,53647.0
4426,2,21,1787059800000,1787059800000,4.0,-12.0,-8.0,true,0.0,0.0,61350.57,false,false,false,53330.0,53330.0,false,true,4.0,0,3,-1,53480.0,53330.0
4429,2,21,1787066400000,1787066400000,4.0,-12.0,-8.0,true,0.0,0.0,61338.57,false,false,false,53330.0,53330.0,false,true,4.0,0,3,-1,53480.0,53330.0
4435,1,21,1787648400000,1787664660000,5.0,-96.72,-10.0,true,82.71751,413.72003,61241.844,false,false,false,53564.086,53531.0,true,false,4.0,5,2,-1,53439.086,54159.0
